entryId,term,scope,beforeIssue,changedStages,conceptSpecificProcess,recognitionDelta,primaryBoundary,transferTestId,sourceStatus,editorialReviewStatus,remainingGap
concept-0011,Multi-Perspectival Empathic Network Complexity Index,Core synchronisation retrofit,PDFが正式名称・所属・明示比率を確定。Multi-Perspectivalを正式名へ追加し、視点関係の範囲を明示。,2:primer / 3:process / 4:integration / 5:formation,Operational Recognition Route：各視点で知る情報と感情の条件を分ける → 視点間の相互理解・誤解を結ぶ → 観客が同時に保持する関係を記述 → 人数の多さと共感ネットワークの複雑性を分ける。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。,入口では「主人公への共感の強さではなく、複数人物の視点をどれだけ内側から理解させるかを見る。」。到達点では「複数の視点の共感関係がどのように接続・衝突するかを扱う正式指標。登場人物数や一人への強い共感をネットワーク複雑性の代用にしない。」として、人数から関係の働きを推定している。という誤用を区別できる。,人数から関係の働きを推定している。,concept-0011-transfer,"{""labelPlacementWeights"": ""Source-Confirmed Specification"", ""explanation"": ""Source-Derived Operational Explanation"", ""detailedMeasurement"": ""Unspecified in Supplied Source"", ""learningEffect"": ""Untested""}",Authoring-model semantic reread; not independent expert review,Learner validation / independent expert review not performed; detailed measurement specification absent
concept-0012,Visual Semantics,Affected historical / interface retrofit,現行E7が音響も含むため、旧E7の履歴・視覚概念と新しい正式範囲を分離。,2:primer / 3:process / 4:integration / 5:formation,Operational Recognition Route：画面内の物・色・構図を特定 → その視覚的配置が文脈で運ぶ意味を読む → 音響が変える読みを別に記録 → 視覚の概念と現行E7全体を分ける。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。,入口では「画面に『何があるか』ではなく、それが何を意味として運ぶかを見る。」。到達点では「視覚的手がかりの意味作用を読む概念。旧E7の履歴は残すが、音響を含む現行E7全体の別名や唯一の構成要素とは扱わない。」として、音響の意味作用を除外している。という誤用を区別できる。,音響の意味作用を除外している。,concept-0012-transfer,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Authoring-model semantic reread; not independent expert review,Learner validation / independent expert review not performed
concept-0013,Semantic Integration Index,Core synchronisation retrofit,PDFが正式名称・所属・明示比率を確定。一般的な説明と正式Index/Layerの役割を区別して再構成。,2:primer / 3:process / 4:integration / 5:formation,Operational Recognition Route：意味を担う要素を分ける → 要素同士が補強・補完・緊張する関係を示す → 組合せから生じる全体の読みを述べる → 並存や一律一致と統合を分ける。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。,入口では「個別要素の良さではなく、それらが一つの意味Architectureとして相互作用しているかを見る。」。到達点では「複数の意味作用が全体の読みへどのようにつながるかを扱う正式指標。矛盾を含む関係形成も認め、要素の数や一致で代用しない。」として、反復の数だけでは要素間の関係を示せない。という誤用を区別できる。,反復の数だけでは要素間の関係を示せない。,concept-0013-transfer,"{""labelPlacementWeights"": ""Source-Confirmed Specification"", ""explanation"": ""Source-Derived Operational Explanation"", ""detailedMeasurement"": ""Unspecified in Supplied Source"", ""learningEffect"": ""Untested""}",Authoring-model semantic reread; not independent expert review,Learner validation / independent expert review not performed; detailed measurement specification absent
concept-0014,Cognitive Plasticity Index,Affected historical / interface retrofit,CTIが正式Outcomeとして確認されたため、旧CPIの定義・IDを保存し、対応未規定を明記。,2:primer / 3:process / 4:integration / 5:formation,Operational Recognition Route：旧版で想定した認識の再編成を読む → 視聴前後の区別やモデルの違いを記録 → 今回のCTIの正式配置と照合 → 対応が資料にない部分を未確定として残す。 以下は概念を見分けるための編集的手順で、実証済みの心理過程を示すものではない。,入口では「作品が視聴者の『見方そのもの』を書き換える度合いを見る。」。到達点では「旧版で認識構造の再編成を扱った補助概念。現在のCTIとの関係を未規定のまま明示し、近い説明だけで同一尺度や改名と判断しない。」として、同一性や尺度対応が資料にないため換算できない。という誤用を区別できる。,同一性や尺度対応が資料にないため換算できない。,concept-0014-transfer,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested"", ""currentMapping"": ""Unspecified in Supplied Source""}",Authoring-model semantic reread; not independent expert review,Learner validation / independent expert review not performed
concept-0015,+ Architecture,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,Narrative、Music、Visual等がそれぞれ機能していても、互いの意味を変換していない場合を識別する。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0016,× Architecture,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,AとBを別々に評価した後、AがBの意味を変え、BもAの意味を変える相互作用を確認する。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0017,Semantic Accumulation,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,複数要素を足し合わせ、まだ相互変換が起きていないことを意識する。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0018,Reduction or Suppression,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,情報や機能が単に存在しないのか、意図的に抑制されたのかを区別する。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0019,Semantic Interaction,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,AとBの関係が双方向に意味を変えるかを確認する。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0020,Transformation,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,入力と出力の間に何が変わったのかを追う。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0021,Location Semantics,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,建築、歴史、階級、文化、人物、出来事が場所にどの程度埋め込まれているかを読む。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0022,Found Semantic Compression,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,場所や物が持つ歴史・階級・文化・時間の情報を認識し、それが説明なしに映像へ圧縮される過程を読む。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0023,Symbolic Location,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,場所を見て、都市・国家・権力・学校など一義的な象徴を読み取る。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0024,Atmospheric Location,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,光、質感、建築、天候、音響などから説明以前の雰囲気を受け取る。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0025,Narrative Location,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,その場所でなければ成立しない出来事・移動・対立・発見があるかを見る。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0026,Semantic Location,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,歴史、階級、文化、人物、物語が同一空間で重なり、説明なしに意味を生成するかを見る。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0027,Cognitive Location,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,場所を単なる舞台としてではなく、歴史・社会・文化の構造を理解する認知装置として読み直す。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0028,Cultural Genesis,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,建築、生活、歴史、反復行動、制度が長期に蓄積し、その場所固有の文化感覚を作る過程を追う。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0029,Cultural Smell,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,建築・音・生活痕跡・歴史・人々の振る舞いを統合し、明示されない文化的密度を感知する。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0030,Comprehensibility-Convergence Bias,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,説明・放送環境・対象視聴者への配慮が、曖昧性や構造的複雑性を削っていないかを確認する。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0031,Metaphor Debt,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,比喩が何を見せ、何を隠し、どこで因果関係を誤解させるかを検証する。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0032,Premature Causal Closure,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,代替原因、条件、反証可能性が残っているかを確認する。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0033,Complexity Erasure,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,例外、複数因果、時間差、制度、利害関係者が省略されていないか確認する。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0034,Low Recognition Resolution,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,Distinctionが不足し、比較・因果・文脈の差を識別できているか確認する。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
concept-0035,Liberal Arts Model,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,Distinction ▶︎ Contextualisation ▶︎ Comparison ▶︎ Causal-Structural Analysis ▶︎ Uncertainty Recognition and Preservation と進む。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Project Research Hypothesis"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed; hypothesis not confirmed
concept-0036,Distinction,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,対象間の境界・条件・機能差を取り出す。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Project Research Hypothesis"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed; hypothesis not confirmed
concept-0037,Contextualisation,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,何と関係し、どの条件下で成立し、どの時代・制度に属するかを配置する。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Project Research Hypothesis"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed; hypothesis not confirmed
concept-0038,Epistemic Autonomy,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,複数情報を区別し、文脈化し、因果を検証し、不確実性を残したまま判断する。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Project Research Hypothesis"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed; hypothesis not confirmed
concept-0039,Black Comedy Cognitive Window,Retained after audit,既存5段階を保持。今回の変更は共有Methodologyの分離・参照ラベル等の整合のみ。,None; existing five stages preserved,対象との情動距離を調整し、恐怖・暴力・制度的不合理を直接受けるのではなく、笑いを介して観察する。,既存の入口・到達の区別を保持。今回、新規学習効果は検証していない。,概念の存在と、作品での機能・寄与・評価は別に根拠を必要とする。,Not added; outside completion scope,"{""explanation"": ""Existing public editorial explanation"", ""learningEffect"": ""Untested""}",Existing five stages retained after scope audit; not independently revalidated,Learner validation / independent expert review not performed
