number,concept,map_type,priority,reason,historical_nodes,semantic_nodes,research_tray_items
71,Iteration,Concept Formation Map · 非年表,Optional,この版の学習目的では、まず「同じ手順を次の回として実行するか。」を実例と対比で確かめればよい。大きな歴史図は任意とし、認識の組み立てを小さく示す。語に歴史がないという判断ではない。,0,8,2
72,Feedback Loop,Concept Formation Map · 非年表,Useful,「結果・状態の情報が戻り、後続の振る舞いへ作用するか。」という認識を、近接概念との境界と訳語へ結ぶ。現時点の資料だけで歴史的な年表を作らない。,0,8,2
73,Improvement,Concept Formation Map · 非年表,Useful,「何に照らして、前よりよくなったのか。」という認識を、近接概念との境界と訳語へ結ぶ。現時点の資料だけで歴史的な年表を作らない。,0,8,2
74,Change,Concept Formation Map · 非年表,Optional,この版の学習目的では、まず「前後で何が異なったかを、良し悪しの前に捉える。」を実例と対比で確かめればよい。大きな歴史図は任意とし、認識の組み立てを小さく示す。語に歴史がないという判断ではない。,0,8,2
75,Progress,Concept Formation Map · 非年表,Useful,「どの方向・目標に向けて進んだと判断しているか。」という認識を、近接概念との境界と訳語へ結ぶ。現時点の資料だけで歴史的な年表を作らない。,0,8,2
76,Optimisation,Concept Formation Map · 非年表,Useful,「どの目的関数と制約の下で、より望ましい解を探すか。」という認識を、近接概念との境界と訳語へ結ぶ。現時点の資料だけで歴史的な年表を作らない。,0,8,2
77,Development,Concept Formation Map · 非年表,Useful,「何が形成され、能力や構成が展開していくか。」という認識を、近接概念との境界と訳語へ結ぶ。現時点の資料だけで歴史的な年表を作らない。,0,8,2
78,Refinement,Concept Formation Map · 非年表,Optional,この版の学習目的では、まず「既存のものをどの細部・精度・整合性で詰めるか。」を実例と対比で確かめればよい。大きな歴史図は任意とし、認識の組み立てを小さく示す。語に歴史がないという判断ではない。,0,8,2
79,Criterion,Concept Formation Map · 非年表,Optional,この版の学習目的では、まず「何について判断するか、どの条件でよしとするか。」を実例と対比で確かめればよい。大きな歴史図は任意とし、認識の組み立てを小さく示す。語に歴史がないという判断ではない。,0,8,2
80,Standard,Concept Formation Map · 非年表,Optional,この版の学習目的では、まず「何が共有された準拠条件・水準になっているか。」を実例と対比で確かめればよい。大きな歴史図は任意とし、認識の組み立てを小さく示す。語に歴史がないという判断ではない。,0,8,2
81,Benchmark,Concept Formation Map · 非年表,Optional,この版の学習目的では、まず「何と比べて位置や違いを確かめるか。」を実例と対比で確かめればよい。大きな歴史図は任意とし、認識の組み立てを小さく示す。語に歴史がないという判断ではない。,0,8,2
82,Analysis,Translation / Conceptual Re-Cutting Map,Recommended,複数の原語の焦点と日本語の切り分けを並べて読む。左右の配置は年代でも、優劣でもない。,0,7,3
83,Synthesis,Concept Formation Map · 非年表,Useful,「分けて得たものを、どの関係でまとまりにするか。」という認識を、近接概念との境界と訳語へ結ぶ。現時点の資料だけで歴史的な年表を作らない。,0,8,2
84,Evaluation,Concept Formation Map · 非年表,Useful,「何を基準に、どの程度よい・適切と判断するか。」という認識を、近接概念との境界と訳語へ結ぶ。現時点の資料だけで歴史的な年表を作らない。,0,8,2
85,Interpretation,Concept Formation Map · 非年表,Useful,「この文脈では、何を意味すると読めるか。」という認識を、近接概念との境界と訳語へ結ぶ。現時点の資料だけで歴史的な年表を作らない。,0,8,2
86,Explanation,Concept Formation Map · 非年表,Useful,「なぜ・どのようにそうなるのかを理解可能にする。」という認識を、近接概念との境界と訳語へ結ぶ。現時点の資料だけで歴史的な年表を作らない。,0,8,2
87,Description,Concept Formation Map · 非年表,Optional,この版の学習目的では、まず「何が観察・記録されたかを他者がたどれるように示す。」を実例と対比で確かめればよい。大きな歴史図は任意とし、認識の組み立てを小さく示す。語に歴史がないという判断ではない。,0,8,2
