classification,location,match,context
B,DB.entries[34].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[35].coords,Version 1.7,See Version 1.7 Contrast / Network Position
B,DB.entries[35].baselineKind,Version 1.7,Version 1.7 · Full Reconstruction
B,DB.entries[35].transferBaseline,Version 1.7,Version 1.7オリジナル学習事例。能力測定ではなく、境界を再検討する練習。
B,DB.entries[35].checks[0].basis,Version 1.7,Version 1.7 editorial exercise · Label / Concept recognition
B,DB.entries[35].checks[1].basis,Version 1.7,Version 1.7 editorial exercise · Art / Beauty
B,DB.entries[35].checks[2].basis,Version 1.7,Version 1.7 editorial exercise · Art / Beauty
B,DB.entries[35].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[36].coords,Version 1.7,See Version 1.7 Contrast / Network Position
B,DB.entries[36].baselineKind,Version 1.7,Version 1.7 · Full Reconstruction
B,DB.entries[36].transferBaseline,Version 1.7,Version 1.7オリジナル学習事例。能力測定ではなく、境界を再検討する練習。
B,DB.entries[36].checks[0].basis,Version 1.7,Version 1.7 editorial exercise · Label / Concept recognition
B,DB.entries[36].checks[1].basis,Version 1.7,Version 1.7 editorial exercise · Arts / Art
B,DB.entries[36].checks[2].basis,Version 1.7,Version 1.7 editorial exercise · Arts / Art
B,DB.entries[36].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[37].coords,Version 1.7,See Version 1.7 Contrast / Network Position
B,DB.entries[37].baselineKind,Version 1.7,Version 1.7 · Full Reconstruction
B,DB.entries[37].transferBaseline,Version 1.7,Version 1.7オリジナル学習事例。能力測定ではなく、境界を再検討する練習。
B,DB.entries[37].checks[0].basis,Version 1.7,Version 1.7 editorial exercise · Label / Concept recognition
B,DB.entries[37].checks[1].basis,Version 1.7,Version 1.7 editorial exercise · Craft / Technique
B,DB.entries[37].checks[2].basis,Version 1.7,Version 1.7 editorial exercise · Craft / Technique
B,DB.entries[37].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[38].coords,Version 1.7,See Version 1.7 Contrast / Network Position
B,DB.entries[38].baselineKind,Version 1.7,Version 1.7 · Full Reconstruction
B,DB.entries[38].transferBaseline,Version 1.7,Version 1.7オリジナル学習事例。能力測定ではなく、境界を再検討する練習。
B,DB.entries[38].checks[0].basis,Version 1.7,Version 1.7 editorial exercise · Label / Concept recognition
B,DB.entries[38].checks[1].basis,Version 1.7,Version 1.7 editorial exercise · Technique / Technology
B,DB.entries[38].checks[2].basis,Version 1.7,Version 1.7 editorial exercise · Technique / Technology
B,DB.entries[38].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[39].coords,Version 1.7,See Version 1.7 Contrast / Network Position
B,DB.entries[39].baselineKind,Version 1.7,Version 1.7 · Full Reconstruction
B,DB.entries[39].transferBaseline,Version 1.7,Version 1.7オリジナル学習事例。能力測定ではなく、境界を再検討する練習。
B,DB.entries[39].checks[0].basis,Version 1.7,Version 1.7 editorial exercise · Label / Concept recognition
B,DB.entries[39].checks[1].basis,Version 1.7,Version 1.7 editorial exercise · Technic / Technique
B,DB.entries[39].checks[2].basis,Version 1.7,Version 1.7 editorial exercise · Technic / Technique
B,DB.entries[39].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[40].coords,Version 1.7,See Version 1.7 Contrast / Network Position
B,DB.entries[40].baselineKind,Version 1.7,Version 1.7 · Full Reconstruction
B,DB.entries[40].transferBaseline,Version 1.7,Version 1.7オリジナル学習事例。能力測定ではなく、境界を再検討する練習。
B,DB.entries[40].checks[0].basis,Version 1.7,Version 1.7 editorial exercise · Label / Concept recognition
B,DB.entries[40].checks[1].basis,Version 1.7,Version 1.7 editorial exercise · Technology / Technique
B,DB.entries[40].checks[2].basis,Version 1.7,Version 1.7 editorial exercise · Technology / Technique
B,DB.entries[41].coords,Version 1.7,See Version 1.7 Contrast / Network Position
B,DB.entries[41].baselineKind,Version 1.7,Version 1.7 · Full Reconstruction
B,DB.entries[41].transferBaseline,Version 1.7,Version 1.7オリジナル学習事例。能力測定ではなく、境界を再検討する練習。
B,DB.entries[41].checks[0].basis,Version 1.7,Version 1.7 editorial exercise · Label / Concept recognition
B,DB.entries[41].checks[1].basis,Version 1.7,Version 1.7 editorial exercise · Ethics / Law
B,DB.entries[41].checks[2].basis,Version 1.7,Version 1.7 editorial exercise · Ethics / Law
B,DB.entries[41].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[42].coords,Version 1.7,See Version 1.7 Contrast / Network Position
B,DB.entries[42].baselineKind,Version 1.7,Version 1.7 · Full Reconstruction
B,DB.entries[42].transferBaseline,Version 1.7,Version 1.7オリジナル学習事例。能力測定ではなく、境界を再検討する練習。
B,DB.entries[42].checks[0].basis,Version 1.7,Version 1.7 editorial exercise · Label / Concept recognition
B,DB.entries[42].checks[1].basis,Version 1.7,Version 1.7 editorial exercise · Morality / Custom
B,DB.entries[42].checks[2].basis,Version 1.7,Version 1.7 editorial exercise · Morality / Custom
B,DB.entries[42].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[43].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[43].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[43].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[44].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[44].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[44].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[45].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[45].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[45].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[46].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[46].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[46].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[47].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[47].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[47].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[48].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[48].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[48].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[49].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[49].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[49].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[50].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[50].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[50].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[51].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[51].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[51].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[52].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[52].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[52].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[53].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[53].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[53].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[54].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[54].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[54].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[55].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[55].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[55].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[56].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[56].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[56].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[57].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[57].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[57].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[58].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[58].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[58].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[59].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[59].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[59].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[60].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[60].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[60].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[61].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[61].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[61].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[62].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[62].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[62].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[63].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[63].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[63].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[64].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[64].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[64].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[65].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[65].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[65].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[66].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[66].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[66].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[67].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[67].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[67].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[68].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[68].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[68].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[69].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[69].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[69].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[70].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[70].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[70].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[71].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[71].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[71].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[72].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[72].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[72].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[73].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[73].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[73].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[74].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[74].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[74].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[75].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[75].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[75].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[76].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[76].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[76].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[77].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[77].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[77].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[78].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[78].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[78].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[79].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[79].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[79].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[80].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[80].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[80].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[81].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[81].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[81].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[82].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[82].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[82].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[83].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[83].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[83].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[84].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[84].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[84].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[85].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[85].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[85].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
B,DB.entries[86].baselineKind,Version 1.75,Version 1.75 · Full Reconstruction
B,DB.entries[86].v17.recalibration,1.75,1.75新規構築：0–6、近接・転用課題、領域差、歴史の未確定点を分離。
B,DB.entries[86].v175.why,87概念,固定87概念で反復利用・再検討できる入口をそろえるため。
C,DB.schemaVersion,1.75.0,1.75.0
B,DB.baseVersion,1.7,1.7 Prototype
B,DB.versionNotes[0],20 Concepts,20 Concepts・7 Clusters・英国IPA・内蔵発音を継承
B,DB.contrasts[0].parameters.differenceAxis,Version 1.6,"く、

### **Conceptual Shift available through Pluralisation**

です。

ここはVersion 1.6で厳密にした方がよいです。"
B,DB.contrasts[2].parameters.japaneseTranslationEffect,Version 1.6," / 法治国家の差と接続**は独立した比較問題として研究されており、両者を単純な善悪や同義語にはできません。〔出典対応は照合待ち〕

これはVersion 1.6で特に注意すべきところです。"
B,DB.contrasts[10].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[11].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[12].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[13].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[14].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[15].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[16].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[17].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[18].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[19].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[20].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[21].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[22].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[23].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[24].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[25].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[26].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[27].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[28].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[29].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[30].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[31].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[32].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[33].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[34].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[35].provenance,Version 1.7,Version 1.7 editorial contrast
B,DB.contrasts[36].provenance,Version 1.6,Version 1.6 Boundary Check retained
B,DB.contrasts[37].provenance,Version 1.6,Version 1.6 Boundary Check retained
B,DB.contrasts[38].provenance,Version 1.6,Version 1.6 Boundary Check retained
B,DB.contrasts[39].provenance,Version 1.6,Version 1.6 Boundary Check retained
B,DB.contrasts[40].provenance,Version 1.6,Version 1.6 Boundary Check retained
B,DB.contrasts[41].provenance,Version 1.6,Version 1.6 Boundary Check retained
B,DB.contrasts[42].provenance,Version 1.75,Version 1.75 editorial contrast
B,DB.contrasts[43].provenance,Version 1.75,Version 1.75 editorial contrast
B,DB.contrasts[44].provenance,Version 1.75,Version 1.75 editorial contrast
B,DB.contrasts[45].provenance,Version 1.75,Version 1.75 editorial contrast
B,DB.contrasts[46].provenance,Version 1.75,Version 1.75 editorial contrast
B,DB.contrasts[47].provenance,Version 1.75,Version 1.75 editorial contrast
B,DB.contrasts[48].provenance,Version 1.75,Version 1.75 editorial contrast
B,DB.contrasts[49].provenance,Version 1.75,Version 1.75 editorial contrast
B,DB.contrasts[50].provenance,Version 1.75,Version 1.75 editorial contrast
B,DB.contrasts[51].provenance,Version 1.75,Version 1.75 editorial contrast
